"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV",900,0,2017-04-25,4.1,0
"D01","HARV",900,0,2017-04-26,4.84,0
"D01","HARV",900,0,2017-04-27,0.04,0
"D01","HARV",900,0,2017-04-28,0.2,0
"D01","HARV",900,0,2017-04-29,0.08,0
"D01","HARV",900,0,2017-04-30,3.97,0
"D01","HARV",900,0,2017-05-01,0.09,0
"D01","HARV",900,0,2017-05-02,13.75,0
"D01","HARV",900,0,2017-05-03,0.25,0
"D01","HARV",900,0,2017-05-04,0.57,0
"D01","HARV",900,0,2017-05-05,14.71,0
"D01","HARV",900,0,2017-05-10,0.16,0
"D01","HARV",900,0,2017-05-11,0.36,0
"D01","HARV",900,0,2017-05-12,0.13,0
"D01","HARV",900,0,2017-05-13,4.16,0
"D01","HARV",900,0,2017-05-14,30.71,0
"D01","HARV",900,0,2017-05-17,0.33,0
"D01","HARV",900,0,2017-05-20,0.36,0
"D01","HARV",900,0,2017-05-21,0.24,0
"D01","HARV",900,0,2017-05-22,6.67,0
"D01","HARV",900,0,2017-05-23,0.4,0
"D01","HARV",900,0,2017-05-24,0.07,0
"D01","HARV",900,0,2017-05-25,0.51,0
"D01","HARV",900,0,2017-05-26,33.69,0
"D01","HARV",900,0,2017-05-27,0.17,0
"D01","HARV",900,0,2017-05-28,0.28,0
"D01","HARV",900,0,2017-05-29,3.45,0
"D01","HARV",900,0,2017-05-30,0.06,0
"D01","HARV",900,0,2017-05-31,4.82,0
"D01","HARV",900,0,2017-06-01,0.98,0
"D01","HARV",900,0,2017-06-02,0.78,0
"D01","HARV",900,0,2017-06-03,0.75,0
"D01","HARV",900,0,2017-06-04,2.1,0
"D01","HARV",900,0,2017-06-05,15.77,0
"D01","HARV",900,0,2017-06-06,45.07,0
"D01","HARV",900,0,2017-06-07,2.66,0
"D01","HARV",900,0,2017-06-08,0.36,0
"D01","HARV",900,0,2017-06-09,0.79,0
"D01","HARV",900,0,2017-06-10,0.37,0
"D01","HARV",900,0,2017-06-11,0.21,0
"D01","HARV",900,0,2017-06-12,0.05,0
"D01","HARV",900,0,2017-06-13,0.04,0
"D01","HARV",900,0,2017-06-14,0.43,0
"D01","HARV",900,0,2017-06-15,0.56,0
"D01","HARV",900,0,2017-06-16,2.22,0
"D01","HARV",900,0,2017-06-17,0.08,0
"D01","HARV",900,0,2017-06-18,0.38,0
"D01","HARV",900,0,2017-06-19,10.02,0
"D01","HARV",900,0,2017-06-20,1.65,0
"D01","HARV",900,0,2017-06-21,0.28,0
"D01","HARV",900,0,2017-06-22,0.46,0
"D01","HARV",900,0,2017-06-24,1.95,0
"D01","HARV",900,0,2017-06-25,0.56,0
"D01","HARV",900,0,2017-06-26,1.08,0
"D01","HARV",900,0,2017-06-27,2.07,0
"D01","HARV",900,0,2017-06-28,0.61,0
"D01","HARV",900,0,2017-06-29,0.14,0
"D01","HARV",900,0,2017-06-30,14.09,0
"D01","HARV",900,0,2017-07-01,2.56,0
"D01","HARV",900,0,2017-07-02,0.31,0
"D01","HARV",900,0,2017-07-03,0.72,0
"D01","HARV",900,0,2017-07-04,0.42,0
"D01","HARV",900,0,2017-07-05,0.8,0
"D01","HARV",900,0,2017-07-08,3.4,0
"D01","HARV",900,0,2017-07-09,0.59,0
"D01","HARV",900,0,2017-07-10,0.41,0
"D01","HARV",900,0,2017-07-12,1.02,0
"D01","HARV",900,0,2017-07-13,1.15,0
"D01","HARV",900,0,2017-07-14,0.2,0
"D01","HARV",900,0,2017-07-17,0.42,0
"D01","HARV",900,0,2017-07-19,0.04,0
"D01","HARV",900,0,2017-07-22,0.09,0
"D01","HARV",900,0,2017-07-23,0.47,0
"D01","HARV",900,0,2017-07-26,0.9,0
"D01","HARV",900,0,2017-07-27,1.94,0
"D01","HARV",900,0,2017-07-28,0.43,0
"D01","HARV",900,0,2017-07-29,1.05,0
"D01","HARV",900,0,2017-07-30,0.59,0
"D01","HARV",900,0,2017-07-31,0.54,0
"D01","HARV",900,0,2017-08-01,0.62,0
"D01","HARV",900,0,2017-08-02,0.24,0
"D01","HARV",900,0,2017-08-03,0.45,0
"D01","HARV",900,0,2017-08-04,1.88,0
"D01","HARV",900,0,2017-08-05,21.83,0
"D01","HARV",900,0,2017-08-06,0.91,0
"D01","HARV",900,0,2017-08-07,0.6,0
"D01","HARV",900,0,2017-08-08,1.05,0
"D01","HARV",900,0,2017-08-09,0.94,0
"D01","HARV",900,0,2017-08-10,0.7,0
"D01","HARV",900,0,2017-08-11,0.52,0
"D01","HARV",900,0,2017-08-12,5.25,0
"D01","HARV",900,0,2017-08-13,7.68,0
"D01","HARV",900,0,2017-08-14,0.46,0
"D01","HARV",900,0,2017-08-15,3.81,0
"D01","HARV",900,0,2017-08-16,0.24,1
"D01","HARV",900,0,2017-08-17,0,1
"D01","HARV",900,0,2017-08-18,0,1
"D01","HARV",900,0,2017-08-19,0,1
"D01","HARV",900,0,2017-08-20,0,1
"D01","HARV",900,0,2017-08-21,0,1
"D01","HARV",900,0,2017-08-22,0,1
"D01","HARV",900,0,2017-08-23,0,1
"D01","HARV",900,0,2017-08-24,0,1
"D01","HARV",900,0,2017-08-25,0,1
"D01","HARV",900,0,2017-08-26,0,1
"D01","HARV",900,0,2017-08-27,0,1
"D01","HARV",900,0,2017-08-28,0,1
"D01","HARV",900,0,2017-08-29,0.02,1
"D01","HARV",900,0,2017-08-30,0.57,0
"D01","HARV",900,0,2017-08-31,0.94,0
"D01","HARV",900,0,2017-09-01,1.61,0
"D01","HARV",900,0,2017-09-02,0.72,0
"D01","HARV",900,0,2017-09-03,21.23,0
"D01","HARV",900,0,2017-09-04,1.17,0
"D01","HARV",900,0,2017-09-05,0.83,0
"D01","HARV",900,0,2017-09-06,21.54,0
"D01","HARV",900,0,2017-09-07,12.95,0
"D01","HARV",900,0,2017-09-08,1.44,0
"D01","HARV",900,0,2017-09-09,1.35,0
"D01","HARV",900,0,2017-09-10,1.03,0
"D01","HARV",900,0,2017-09-11,0.71,1
"D01","HARV",900,0,2017-09-12,0,1
"D01","HARV",900,0,2017-09-13,0,1
"D01","HARV",900,0,2017-09-14,0,1
"D01","HARV",900,0,2017-09-15,0,1
"D01","HARV",900,0,2017-09-16,0,1
"D01","HARV",900,0,2017-09-17,0,1
"D01","HARV",900,0,2017-09-18,0,1
"D01","HARV",900,0,2017-09-19,0,1
"D01","HARV",900,0,2017-09-20,0,1
"D01","HARV",900,0,2017-09-21,0,1
"D01","HARV",900,0,2017-09-22,0,1
"D01","HARV",900,0,2017-09-23,0,1
"D01","HARV",900,0,2017-09-24,0,1
"D01","HARV",900,0,2017-09-25,0,1
"D01","HARV",900,0,2017-09-26,0,1
"D01","HARV",900,0,2017-09-27,0.47,0
"D01","HARV",900,0,2017-09-28,0.63,0
"D01","HARV",900,0,2017-09-29,0.74,0
"D01","HARV",900,0,2017-09-30,1.44,0
"D01","HARV",900,0,2017-10-01,0.79,0
"D01","HARV",900,0,2017-10-02,0.83,0
"D01","HARV",900,0,2017-10-03,0.5,0
"D01","HARV",900,0,2017-10-04,0.59,0
"D01","HARV",900,0,2017-10-05,0.44,0
"D01","HARV",900,0,2017-10-06,0.61,0
"D01","HARV",900,0,2017-10-07,0.32,0
"D01","HARV",900,0,2017-10-08,10.76,0
"D01","HARV",900,0,2017-10-09,19.94,0
"D01","HARV",900,0,2017-10-10,1.64,0
"D01","HARV",900,0,2017-10-11,0.28,0
"D01","HARV",900,0,2017-10-12,1.16,0
"D01","HARV",900,0,2017-10-13,0.95,0
"D01","HARV",900,0,2017-10-14,0.29,0
"D01","HARV",900,0,2017-10-15,0.28,0
"D01","HARV",900,0,2017-10-16,2.48,0
"D01","HARV",900,0,2017-10-17,1.03,0
"D01","HARV",900,0,2017-10-18,1.28,0
"D01","HARV",900,0,2017-10-19,0.51,0
