"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","TFPrecipBulk","TFPrecipExpUncert","TFPrecipRangeQF","TFPrecipSciRvwQF"
"D01","HARV",1,0,"2017-02-26T00:00:00Z","2017-02-26T00:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T00:30:00Z","2017-02-26T01:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T01:00:00Z","2017-02-26T01:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T01:30:00Z","2017-02-26T02:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T02:00:00Z","2017-02-26T02:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T02:30:00Z","2017-02-26T03:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T03:00:00Z","2017-02-26T03:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T03:30:00Z","2017-02-26T04:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T04:00:00Z","2017-02-26T04:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T04:30:00Z","2017-02-26T05:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T05:00:00Z","2017-02-26T05:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T05:30:00Z","2017-02-26T06:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T06:00:00Z","2017-02-26T06:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T06:30:00Z","2017-02-26T07:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T07:00:00Z","2017-02-26T07:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T07:30:00Z","2017-02-26T08:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T08:00:00Z","2017-02-26T08:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T08:30:00Z","2017-02-26T09:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T09:00:00Z","2017-02-26T09:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T09:30:00Z","2017-02-26T10:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T10:00:00Z","2017-02-26T10:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T10:30:00Z","2017-02-26T11:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T11:00:00Z","2017-02-26T11:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T11:30:00Z","2017-02-26T12:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T12:00:00Z","2017-02-26T12:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T12:30:00Z","2017-02-26T13:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T13:00:00Z","2017-02-26T13:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T13:30:00Z","2017-02-26T14:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T14:00:00Z","2017-02-26T14:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T14:30:00Z","2017-02-26T15:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T15:00:00Z","2017-02-26T15:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T15:30:00Z","2017-02-26T16:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T16:00:00Z","2017-02-26T16:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T16:30:00Z","2017-02-26T17:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T17:00:00Z","2017-02-26T17:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T17:30:00Z","2017-02-26T18:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T18:00:00Z","2017-02-26T18:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T18:30:00Z","2017-02-26T19:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T19:00:00Z","2017-02-26T19:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T19:30:00Z","2017-02-26T20:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T20:00:00Z","2017-02-26T20:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T20:30:00Z","2017-02-26T21:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T21:00:00Z","2017-02-26T21:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T21:30:00Z","2017-02-26T22:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T22:00:00Z","2017-02-26T22:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T22:30:00Z","2017-02-26T23:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T23:00:00Z","2017-02-26T23:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-26T23:30:00Z","2017-02-27T00:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T00:00:00Z","2017-02-27T00:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T00:30:00Z","2017-02-27T01:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T01:00:00Z","2017-02-27T01:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T01:30:00Z","2017-02-27T02:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T02:00:00Z","2017-02-27T02:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T02:30:00Z","2017-02-27T03:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T03:00:00Z","2017-02-27T03:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T03:30:00Z","2017-02-27T04:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T04:00:00Z","2017-02-27T04:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T04:30:00Z","2017-02-27T05:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T05:00:00Z","2017-02-27T05:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T05:30:00Z","2017-02-27T06:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T06:00:00Z","2017-02-27T06:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T06:30:00Z","2017-02-27T07:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T07:00:00Z","2017-02-27T07:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T07:30:00Z","2017-02-27T08:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T08:00:00Z","2017-02-27T08:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T08:30:00Z","2017-02-27T09:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T09:00:00Z","2017-02-27T09:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T09:30:00Z","2017-02-27T10:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T10:00:00Z","2017-02-27T10:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T10:30:00Z","2017-02-27T11:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T11:00:00Z","2017-02-27T11:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T11:30:00Z","2017-02-27T12:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T12:00:00Z","2017-02-27T12:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T12:30:00Z","2017-02-27T13:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T13:00:00Z","2017-02-27T13:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T13:30:00Z","2017-02-27T14:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T14:00:00Z","2017-02-27T14:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T14:30:00Z","2017-02-27T15:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T15:00:00Z","2017-02-27T15:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T15:30:00Z","2017-02-27T16:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T16:00:00Z","2017-02-27T16:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T16:30:00Z","2017-02-27T17:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T17:00:00Z","2017-02-27T17:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T17:30:00Z","2017-02-27T18:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T18:00:00Z","2017-02-27T18:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T18:30:00Z","2017-02-27T19:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T19:00:00Z","2017-02-27T19:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T19:30:00Z","2017-02-27T20:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T20:00:00Z","2017-02-27T20:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T20:30:00Z","2017-02-27T21:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T21:00:00Z","2017-02-27T21:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T21:30:00Z","2017-02-27T22:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T22:00:00Z","2017-02-27T22:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T22:30:00Z","2017-02-27T23:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T23:00:00Z","2017-02-27T23:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-27T23:30:00Z","2017-02-28T00:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T00:00:00Z","2017-02-28T00:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T00:30:00Z","2017-02-28T01:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T01:00:00Z","2017-02-28T01:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T01:30:00Z","2017-02-28T02:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T02:00:00Z","2017-02-28T02:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T02:30:00Z","2017-02-28T03:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T03:00:00Z","2017-02-28T03:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T03:30:00Z","2017-02-28T04:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T04:00:00Z","2017-02-28T04:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T04:30:00Z","2017-02-28T05:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T05:00:00Z","2017-02-28T05:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T05:30:00Z","2017-02-28T06:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T06:00:00Z","2017-02-28T06:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T06:30:00Z","2017-02-28T07:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T07:00:00Z","2017-02-28T07:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T07:30:00Z","2017-02-28T08:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T08:00:00Z","2017-02-28T08:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T08:30:00Z","2017-02-28T09:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T09:00:00Z","2017-02-28T09:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T09:30:00Z","2017-02-28T10:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T10:00:00Z","2017-02-28T10:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T10:30:00Z","2017-02-28T11:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T11:00:00Z","2017-02-28T11:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T11:30:00Z","2017-02-28T12:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T12:00:00Z","2017-02-28T12:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T12:30:00Z","2017-02-28T13:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T13:00:00Z","2017-02-28T13:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T13:30:00Z","2017-02-28T14:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T14:00:00Z","2017-02-28T14:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T14:30:00Z","2017-02-28T15:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T15:00:00Z","2017-02-28T15:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T15:30:00Z","2017-02-28T16:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T16:00:00Z","2017-02-28T16:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T16:30:00Z","2017-02-28T17:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T17:00:00Z","2017-02-28T17:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T17:30:00Z","2017-02-28T18:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T18:00:00Z","2017-02-28T18:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T18:30:00Z","2017-02-28T19:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T19:00:00Z","2017-02-28T19:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T19:30:00Z","2017-02-28T20:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T20:00:00Z","2017-02-28T20:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T20:30:00Z","2017-02-28T21:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T21:00:00Z","2017-02-28T21:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T21:30:00Z","2017-02-28T22:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T22:00:00Z","2017-02-28T22:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T22:30:00Z","2017-02-28T23:00:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T23:00:00Z","2017-02-28T23:30:00Z",0,0,0,1
"D01","HARV",1,0,"2017-02-28T23:30:00Z","2017-03-01T00:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T00:00:00Z","2017-02-26T00:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T00:30:00Z","2017-02-26T01:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T01:00:00Z","2017-02-26T01:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T01:30:00Z","2017-02-26T02:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T02:00:00Z","2017-02-26T02:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T02:30:00Z","2017-02-26T03:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T03:00:00Z","2017-02-26T03:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T03:30:00Z","2017-02-26T04:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T04:00:00Z","2017-02-26T04:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T04:30:00Z","2017-02-26T05:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T05:00:00Z","2017-02-26T05:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T05:30:00Z","2017-02-26T06:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T06:00:00Z","2017-02-26T06:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T06:30:00Z","2017-02-26T07:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T07:00:00Z","2017-02-26T07:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T07:30:00Z","2017-02-26T08:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T08:00:00Z","2017-02-26T08:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T08:30:00Z","2017-02-26T09:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T09:00:00Z","2017-02-26T09:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T09:30:00Z","2017-02-26T10:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T10:00:00Z","2017-02-26T10:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T10:30:00Z","2017-02-26T11:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T11:00:00Z","2017-02-26T11:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T11:30:00Z","2017-02-26T12:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T12:00:00Z","2017-02-26T12:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T12:30:00Z","2017-02-26T13:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T13:00:00Z","2017-02-26T13:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T13:30:00Z","2017-02-26T14:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T14:00:00Z","2017-02-26T14:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T14:30:00Z","2017-02-26T15:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T15:00:00Z","2017-02-26T15:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T15:30:00Z","2017-02-26T16:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T16:00:00Z","2017-02-26T16:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T16:30:00Z","2017-02-26T17:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T17:00:00Z","2017-02-26T17:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T17:30:00Z","2017-02-26T18:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T18:00:00Z","2017-02-26T18:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T18:30:00Z","2017-02-26T19:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T19:00:00Z","2017-02-26T19:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T19:30:00Z","2017-02-26T20:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T20:00:00Z","2017-02-26T20:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T20:30:00Z","2017-02-26T21:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T21:00:00Z","2017-02-26T21:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T21:30:00Z","2017-02-26T22:00:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T22:00:00Z","2017-02-26T22:30:00Z",0,0,0,1
"D01","HARV",2,0,"2017-02-26T22:30:00Z","2017-02-26T23:00:00Z",0,0,0,1
